"","id","task","stimulus","density","frequency","length","item","rt","log_rt","correct"
"1","L1","lexdec","nonword","high","high","4","haie",0.546,-0.605136303237232,TRUE
"2","L1","lexdec","nonword","high","high","4","uows",0.766,-0.266573109241546,TRUE
"3","L1","lexdec","nonword","high","high","4","xage",0.719,-0.32989392126109,TRUE
"4","L1","lexdec","nonword","high","high","5","uares",2.234,0.803793700647009,TRUE
"5","L1","lexdec","nonword","high","high","5","clajs",0.859,-0.151986356997882,TRUE
"6","L1","lexdec","nonword","high","high","6","uucked",2.14,0.76080582903376,TRUE
"7","L1","lexdec","nonword","high","high","6","seaqed",0.672,-0.397496938458987,TRUE
"8","L1","lexdec","nonword","high","high","4","iape",0.704,-0.350976922824095,TRUE
"9","L1","lexdec","nonword","high","high","4","tiue",0.672,-0.397496938458987,TRUE
"10","L1","lexdec","nonword","high","high","4","eint",0.578,-0.54818141030976,TRUE
"11","L1","lexdec","nonword","high","high","5","ioles",0.484,-0.725670372265505,TRUE
"12","L1","lexdec","nonword","high","high","5","aeeds",1.235,0.211070970079941,TRUE
"13","L1","lexdec","nonword","high","high","6","leaoed",0.5,-0.693147180559945,TRUE
"14","L1","lexdec","nonword","high","high","6","qobbed",0.75,-0.287682072451781,TRUE
"15","L1","lexdec","nonword","high","high","4","braj",0.546,-0.605136303237232,TRUE
"16","L1","lexdec","nonword","high","high","4","aoon",0.61,-0.49429632181478,TRUE
"17","L1","lexdec","nonword","high","high","4","sanh",0.765,-0.267879445155601,TRUE
"18","L1","lexdec","nonword","high","high","5","maqes",0.656,-0.421594490038048,TRUE
"19","L1","lexdec","nonword","high","high","5","ueans",0.735,-0.3078847797693,TRUE
"20","L1","lexdec","nonword","high","high","6","grajes",0.562,-0.576253429088446,TRUE
"21","L1","lexdec","nonword","high","high","6","staoes",0.781,-0.247180129142451,TRUE
"22","L1","lexdec","nonword","high","high","4","ieep",0.86,-0.150822889734584,TRUE
"23","L1","lexdec","nonword","high","high","4","aown",0.641,-0.444725822061467,TRUE
"24","L1","lexdec","nonword","high","high","4","uabs",0.641,-0.444725822061467,TRUE
"25","L1","lexdec","nonword","high","high","5","iound",0.656,-0.421594490038048,TRUE
"26","L1","lexdec","nonword","high","high","5","oales",0.625,-0.470003629245736,TRUE
"27","L1","lexdec","nonword","high","high","5","iared",0.75,-0.287682072451781,TRUE
"28","L1","lexdec","nonword","high","high","6","aettle",0.672,-0.397496938458987,TRUE
"29","L1","lexdec","nonword","high","high","6","oarrow",0.578,-0.54818141030976,TRUE
"30","L1","lexdec","nonword","high","high","4","sanm",1.657,0.505008738444426,TRUE
"31","L1","lexdec","nonword","high","high","4","daie",0.812,-0.208254938820459,TRUE
